2017-08-18 02:43:52,360:	Start training epoch 1.
2017-08-18 02:43:53,914:	Loss at step 1: 8.499695
2017-08-18 02:43:54,805:	Loss at step 2: 8.533830
2017-08-18 02:43:55,782:	Loss at step 3: 8.047359
2017-08-18 02:43:56,683:	Loss at step 4: 7.937993
2017-08-18 02:43:57,642:	Loss at step 5: 7.370811
2017-08-18 02:43:58,591:	Loss at step 6: 7.495040
2017-08-18 02:43:59,535:	Loss at step 7: 7.347387
2017-08-18 02:44:00,459:	Loss at step 8: 7.145979
2017-08-18 02:44:01,403:	Loss at step 9: 7.591293
2017-08-18 02:44:02,356:	Loss at step 10: 6.764326
2017-08-18 02:44:03,278:	Loss at step 11: 6.936358
2017-08-18 02:44:04,225:	Loss at step 12: 6.149961
2017-08-18 02:44:05,150:	Loss at step 13: 6.604735
2017-08-18 02:44:06,039:	Loss at step 14: 6.256662
2017-08-18 02:44:06,936:	Loss at step 15: 6.493236
2017-08-18 02:44:07,872:	Loss at step 16: 6.123541
2017-08-18 02:44:08,748:	Loss at step 17: 6.030799
2017-08-18 02:44:09,709:	Loss at step 18: 5.870564
2017-08-18 02:44:10,623:	Loss at step 19: 5.993074
2017-08-18 02:44:11,471:	Loss at step 20: 5.985566
2017-08-18 02:44:12,465:	Loss at step 21: 5.581652
2017-08-18 02:44:13,358:	Loss at step 22: 5.607633
2017-08-18 02:44:14,307:	Loss at step 23: 5.716524
2017-08-18 02:44:15,198:	Loss at step 24: 5.687883
2017-08-18 02:44:16,142:	Loss at step 25: 5.884644
2017-08-18 02:44:17,091:	Loss at step 26: 5.571030
2017-08-18 02:44:17,979:	Loss at step 27: 5.524566
2017-08-18 02:44:18,877:	Loss at step 28: 5.901065
2017-08-18 02:44:19,755:	Loss at step 29: 5.679134
2017-08-18 02:44:20,713:	Loss at step 30: 5.678389
2017-08-18 02:44:21,717:	Loss at step 31: 5.395885
2017-08-18 02:44:22,680:	Loss at step 32: 5.804097
2017-08-18 02:44:23,648:	Loss at step 33: 5.859906
2017-08-18 02:44:24,550:	Loss at step 34: 5.572061
2017-08-18 02:44:25,526:	Loss at step 35: 5.723511
2017-08-18 02:44:26,495:	Loss at step 36: 5.689806
2017-08-18 02:44:27,359:	Loss at step 37: 5.527225
2017-08-18 02:44:28,276:	Loss at step 38: 5.285900
2017-08-18 02:44:29,164:	Loss at step 39: 5.924982
2017-08-18 02:44:30,170:	Loss at step 40: 6.170760
2017-08-18 02:44:31,113:	Loss at step 41: 5.199389
2017-08-18 02:44:32,005:	Loss at step 42: 5.404840
2017-08-18 02:44:32,922:	Loss at step 43: 5.645308
2017-08-18 02:44:33,932:	Loss at step 44: 5.319705
2017-08-18 02:44:34,904:	Loss at step 45: 5.872834
2017-08-18 02:44:35,868:	Loss at step 46: 5.419975
2017-08-18 02:44:36,876:	Loss at step 47: 5.601512
2017-08-18 02:44:37,769:	Loss at step 48: 5.794362
2017-08-18 02:44:38,712:	Loss at step 49: 5.058358
2017-08-18 02:44:39,581:	Loss at step 50: 5.920858
2017-08-18 02:44:40,501:	Loss at step 51: 5.523011
2017-08-18 02:44:41,409:	Loss at step 52: 5.252675
